name,address,city,country,continent,geoX,geoY
SevenHills Hospital,"Waltair Main Road, Rockdale Layout",Visakhapatnam,India,Asia,17.717369,83.309372
Apollo Hospital,"10-50-80, Waltair Main Road",Visakhapatnam,India,Asia,17.717087,83.30921
Manipal Super Speciality Hospital (Maternity And Childrens Hospital),"15-2-9, Gokhale Road, Maharanipeta",Visakhapatnam,India,Asia,17.710926,83.302363
Manipal Hospital Vishakapatnam,"18-1-3 KGH Down, Paharani Peta",Vishakapatnam,India,Asia,17.710725,83.302387
Polyclinique El - Rapha,465 Boulevard De Quaben,Libreville,Gabon ,Africa,0.318441,9.496318
Netcare N1 City Hospital,Louwtjie Rothman Street  ,Cape Town,South Africa,Africa,-33.894428,18.558136
Roman Catholic Hospital,Karl Werner List Street 92,Windhoek,Namibia,Africa,-22.564004,17.081814
UB Songdo Hospital,"Choidogyn Street-5, Sukhbaatar District, 1st khoroo",Ulaanbaatar,Mongolia,Asia,47.916314,106.922819
Polyclinique Dr Chambrier,B.P. 2230,Libreville,Gabon ,Africa,0.391822,9.443655
Centre Hospitalier Des Quatre Ville,141 Grande Rue,Paris,France,Europe,48.82117,2.202372
MRI Quebec - Clinique Mailloux,"1900 Mailloux Avenue, Suite 225 ","Quebec, Quebec",Canada,The Americas/The Caribbean,46.842118,-71.219152
RUMAH SAKIT JIH,Jalan Ring Road Utara No. 160,Condong Catur,Indonesia,Asia,-7.757319,110.403293
Dr Mike Conway - Back In Action Physiotherapy,119-4368 Main St,"Whistler, British Columbia",Canada,The Americas/The Caribbean,50.118548,-122.957836
Total Health Care,"Suite 1902, Level 19, Tower 1,520 Oxford Street",Sydney,Australia,Oceania,-33.891325,151.251117
Al Soliman Hospital,Secretary and Saad Zaghloul Street,Port Fouad,Egypt,Africa,31.269614,32.29235
ProPhysio UK,5 Greenfield Lane,Chester,UK,Europe,53.207521,-2.85894
Akutlakarna,Engelbrektsgatan 59,Goteberg,Sweden,Europe,57.700477,11.981642
Spinefit Chiropractic,"D4-G3-6 1, Jalan Dutamas 1, Solaris Dutamas","Kuala Lumpur, Kuala Lumpur",Malaysia,Asia,3.171497,101.666719
Dr Terry C W Hung - Ear Nose Throat And Face Clinic,"New World Tower, 16-18 Queens Road Central, Room 403 & 404, 4/F",Hong Kong,Hong Kong,Asia,22.280873,114.157074
Centrum Dental Centre (Dental),"300 Earl Grey Drive, Unit 9","Kanata, Ontario",Canada,The Americas/The Caribbean,45.311496,-75.915818
Coop Sante Eastman,15 Rue Lapointe,"Eastman, Quebec",Canada,The Americas/The Caribbean,45.300578,-72.315735
Hospital de San Juan de Dios Martorell,"Av. Mancomunitats Comarcals, 1-3",Martorell,Spain,Europe,41.471762,1.920314
Dr Sheeja Mohammed - Medical Care Clinic ,205 Markham Rd,"Scarborough, Ontario",Canada,The Americas/The Caribbean,43.74403,-79.219206
Hospital San Javier Riviera Nayarit,"Paseo de Las Garzas., Paseo de los Cocoteros","Nuevo Vallarta, Nayarit",Mexico,The Americas/The Caribbean,20.697706,-105.295767
Dr K P Yue,123 15th Street E,"North Vancouver, British Columbia",Canada,The Americas/The Caribbean,49.321858,-123.071386
Clinic Juaneda Menorca,"Av. de sArenal, 41",Arenal d en Castell,Spain,Europe,40.020515,4.18545
Hospital Sidi Mohamed Ben Abdellah,Avenue de LHopital,Essaouira,Morocco,Africa,31.511415,-9.762616
Gin Gin Hospital,5 King Street,Gin Gin ,Australia,Oceania,-24.985942,151.953369
That Hospital Santa Isabel - San Pedro Of Miracles,Calle 43A N 52A-109,San Pedro de los Milagros,Colombia,The Americas/The Caribbean,6.4573,-75.560304
Robina Town Medical Centre,"Level 4 27 Arbour Lane Terraces, Robina Town Centre ",Robina,Australia,Oceania,-28.077953,153.38496
Clinique El Hikma,195 Boulevard Mustapha Ben Boulaid,Oran,Algeria,Africa,35.687131,-0.655904
Clinique Benserai,55 Rue Grine Belkacem,Oran,Algeria,Africa,35.68479,-0.6096
Clinique Ophtalmologique Daghbouche,"28 S, Cite Eucalyptus, 3e Tranche",Constantine,Algeria,Africa,36.286212,6.618338
Clinique Mohamed El-Mehdi,Cite Des Muriers,Constantine,Algeria,Africa,36.351126,6.628978
Clinique IBN Rochd,"Cite Boussouf, Lot No. 581, Tranche 2",Constantine,Algeria,Africa,36.327054,6.54481
Clinique Chirurgicale Errazi,Hai El Moudjahidine,Biskra,Algeria,Africa,34.85459,5.7268
Clinique Rameau D`olivier,Route Des Aures,Bejaia,Algeria,Africa,36.746621,5.060042
Clinique El Djazair,CitÈ des 600 logements--Bd Amar BOUZID - Plaine ouest II,Annaba,Algeria,Africa,36.897255,7.725078
Clinique Chirurgicale El Aurassi,17 Boulevard Fellah Rachid,Annaba,Algeria,Africa,36.919341,7.765922
Clinique Les Jamins,Oues Kouba ,Annaba,Algeria,Africa,36.926472,7.753142
Princess Haya Al-Hussein Hospital,"Ash-Shrif Al-Hussein Bin Ali Street, North Of Princess Haya Square",Aqaba,Jordan,Asia,29.534463,35.007752
Prime Medical Consultants,4 Prime Close Off Chief Nyenwenwo Avenue Eliada Estate,Port Harcourt,Nigeria,Africa,4.844865,7.037756
Centro Medico ABC,Av. Sure 136 No 116,"Mexico City, Districto Federal ",Mexico,The Americas/The Caribbean,19.399827,-99.203837
Bangkok Hospital Pakchong,5/1 Mitraparep Road,Pakchong,Thailand,Asia,14.755015,101.517174
Bangkok Hospital China Town,624 Yaowarat Road,Samphantawong,Thailand,Asia,13.737236,100.512855
Shanghai International Medical Center,No.4358 Kangxin Hwy,Pudong,China,Asia,31.119859,121.619855
Suzhou Kowloon Hospital,Wansheng St,Suzhou,China,Asia,31.328894,120.726367
Hospital Nossa Senhora Auxiliadora,"79603 110 - Av. Ros·rio Congro, 1533 - Centro","Tres Lagoas, Mato Grosso do Sul ",Brazil,The Americas/The Caribbean,-20.795769,-51.700884
Dr Lei - Wuhan General Hospital Of Guangzhou Military,Wuluo Road No.299,Wuhan,China,Asia,30.530313,114.344194
Rumah Sakit Siloam Dhirga Surya,Jl. Imam Bonjol No.6,Medan,Indonesia,Asia,3.6972,98.63994
Siloam Hospitals Kupang,"Fatululi, Oebob",Kupang,Indonesia,Asia,-10.157322,123.610345
P A Kamerling (Dental),Meeuwerderweg 36a,Groningen,Netherlands,Europe,53.213469,6.578694
Lady Cilento Childrens Hospital - Childrens Health Queensland,501 Stanley Street,South Brisbane,Australia,Oceania,-27.483986,153.02644
Bellevue Medical Center,"Qanater Zbaydeh, Mansourieh",Beirut,Lebanon,Asia,33.848132,35.559456
New Generation Dental Premier (Dental),"2nd Floor, Shopwise, Gen Aguinaldo Ave, Soccoro",Quezon City,Philippines,Asia,14.620833,121.054668
Toranomon Hospital,2-2-2 Toranomon,"Minato, Tokyo",Japan,Asia,35.669232,139.746408
Hospital Recoletas Burgos,Calle Cruz Roja S/n,Burgos,Spain,Europe,42.344148,-3.683152
Parkway Health,"1357 Nanjing West Road, Shanghai Centre, 2nd Floor",Shanghai,China,Asia,31.22698,121.452559
AZ Zeno Campus Knokke-Heist,Graaf Jansdijk 162,Knokke-Heist,Belgium,Europe,51.337883,3.303879
Clinique Des Ormeaux,36 Rue Marceau,La Havre,France,Europe,49.486782,0.135735
Monsignor Jesus Perez ,Calvo Street No. 381 ,Sucre,Bolivia,The Americas/The Caribbean,-19.048135,-65.25845
Centro Salud Los Boliches,"Calle Antonio Chenel AntoÒete, S/N",Fuengirola,Spain,Europe,36.550927,-4.621663
Centre Hospitalier - Libourne,"112, rue de la Marne ",Libourne ,France,Europe,44.919733,-0.228116
Escrick Surgery,4 Main Street,Escrick,UK,Europe,53.879721,-1.047723
University Hospital of Heraklion,Voutes Stavrakis ,Heraklion,Greece,Europe,35.304829,25.084038
Dr Charles Antoine Zaher (Dental),"14, Chemin de Normandie ",Geneve,Switzerland,Europe,46.18896,6.160586
Tamale Teaching Hospital,Salaga Road,Tamale,Ghana,Africa,9.393072,-0.82347
Peijas Hospital,Sairaalakatu 1,Vantaa,Finland,Europe,60.331212,25.060222
